Site                      Done    Failed   Running   Stalled   Waiting
ARC.SIGNET.si           164981      1868       872         1         1
CLOUD.AWS_Sydney.au       1020      1006        12         0         2
CLOUD.AWS_Tokyo.jp         369       110         1         0         2
CLOUD.AWS_Virginia.u      4002      1470        93         0         5
CLOUD.CC1_Krakow.pl      45411       445       202         0         2
DIRAC.BINP.ru           152344      6303       549         0         2
DIRAC.Beihang.cn         10939      1710       100         0         0
DIRAC.CINVESTAV.mx       47371      1533        94         0         0
DIRAC.DESY.de                2         0         0         0         1
DIRAC.Hokudai.jp          9025        88        40         0         0
DIRAC.Nara-WU.jp         11140       257        20         0         0
DIRAC.Niigata.jp         10418      2122        44         0         2
DIRAC.Osaka-CU.jp        17108       126        35         0         0
DIRAC.PNNL.us           373525      3000      2549         0         2
DIRAC.TIFR.in             3457       141         8         0         2
DIRAC.TMU.jp             15876       455        52         0         1
DIRAC.Tokyo.jp            3472        27         8         0         3
DIRAC.UAS.mx             11104       394        24         0         0
DIRAC.UVic.ca           393711     14246      1488         3         3
DIRAC.Yonsei.kr           7102      3615        33         0         2
LCG.CESNET.cz           186566      1612       507         0         1
LCG.CNAF.it             131013     19562       440         0        18
LCG.CYFRONET.pl          88099      3829       328         0         2
LCG.Cosenza.it          116202      1538       504         0         3
LCG.DESY.de            1016913     21821      4436         0         3
LCG.Frascati.it         119609      1319       213         0         1
LCG.HEPHY.at            249846      4074       474         0         2
LCG.KEK2.jp             509486     13250       291         0         2
LCG.KISTI.kr             75094      1247       311         0         1
LCG.KIT.de              561410      5395      3409         0         1
LCG.KMI.jp              176709      2590       370         0         2
LCG.Legnaro.it           18976       173         2         0         2
LCG.MPPMU.de            310496      6835       793         5         3
LCG.McGill.ca            18109       437        43         0         2
LCG.Melbourne.au         46116       724        58         0         3
LCG.NCHC.tw             188626      1806       498         0         2
LCG.NTU.tw                7208        77        28         0         2
LCG.Napoli.it           275909      7565      1029         0         1
LCG.Pisa.it             392996     11473       348         0         1
LCG.Torino.it            21475       513         3         0         2
LCG.ULAKBIM.tr           15940       863         0         0         2
SSH.KMI.jp                8094        67        28         0         2
----------------------------------------------------------------------------------------------------
Total                  5817269    145686     20337         9        96
