Site,Done,Failed,Running,Stalled,Waiting
ARC.SIGNET.si,150154,1741,986,0,2
CLOUD.AWS_Tokyo.jp,360,106,1,0,2
CLOUD.CC1_Krakow.pl,42034,428,204,0,1
DIRAC.BINP.ru,144654,5652,531,0,7
DIRAC.Beihang.cn,10143,1651,0,0,1
DIRAC.CINVESTAV.mx,44647,1448,96,0,0
DIRAC.DESY.de,2,0,0,0,1
DIRAC.Hokudai.jp,8500,86,40,0,0
DIRAC.Nara-WU.jp,10679,251,21,0,0
DIRAC.Niigata.jp,9704,2091,44,0,2
DIRAC.Osaka-CU.jp,16149,120,35,0,0
DIRAC.PNNL-CASCADE.u,0,0,0,0,2
DIRAC.PNNL-PIC.us,0,0,0,0,0
DIRAC.PNNL.us,354493,2886,2189,6,3
DIRAC.TIFR.in,3263,140,8,0,2
DIRAC.TMU.jp,14874,334,52,0,2
DIRAC.Tokyo.jp,3240,27,8,0,3
DIRAC.UAS.mx,10404,384,24,0,0
DIRAC.UVic.ca,367972,12937,1761,0,5
DIRAC.Yonsei.kr,6681,3443,15,2,2
LCG.CESNET.cz,173650,1542,895,0,2
LCG.CNAF.it,122491,19145,570,1,3
LCG.CYFRONET.pl,83877,3686,349,0,1
LCG.Cosenza.it,115526,1532,7,0,2
LCG.DESY.de,966825,21548,2578,0,2
LCG.Frascati.it,113555,1245,561,0,1
LCG.HEPHY.at,248090,4060,123,0,2
LCG.KEK2.jp,503002,6125,312,0,3
LCG.KISTI.kr,70565,1222,312,0,2
LCG.KIT.de,501922,5006,3474,0,3
LCG.KMI.jp,166127,2494,370,0,1
LCG.Legnaro.it,18902,172,1,0,2
LCG.MPPMU.de,292151,6679,789,0,5
LCG.McGill.ca,16920,434,50,0,1
LCG.Melbourne.au,42170,693,287,0,3
LCG.NCHC.tw,177599,1754,501,0,2
LCG.NTU.tw,6847,76,28,0,2
LCG.Napoli.it,260745,7481,976,0,1
LCG.Pisa.it,385527,11425,199,0,5
LCG.Torino.it,18699,450,170,0,1
LCG.ULAKBIM.tr,15288,863,48,0,1
OSG.Nebraska.us,0,0,0,0,2
OSG.VT.us,0,0,0,0,2
SSH.KMI.jp,7640,66,28,0,3
SSH.UVic.ca,0,0,0,0,0
