Site,CoordinateX,CoordinateY
ARC.SIGNET.si,14.48767,46.04217
CLOUD.AWS_Tokyo.jp,139.75193,35.684498
CLOUD.CC1_Krakow.pl,19.890541,50.089557
DIRAC.BINP.ru,83.11,54.85
DIRAC.Beihang.cn,116.3408333,39.98
DIRAC.CINVESTAV.mx,-99.128603,19.510869
DIRAC.DESY.de,9.8772,53.5772
DIRAC.Hokudai.jp,141.345669,43.073511
DIRAC.Nara-WU.jp,135.828454,34.68787
DIRAC.Niigata.jp,138.941511,37.867478
DIRAC.Osaka-CU.jp,135.5075357,34.5927358
DIRAC.PNNL-CASCADE.u,-119.307833,46.347283
DIRAC.PNNL-PIC.us,-119.307833,46.347283
DIRAC.PNNL.us,-119.307833,46.347283
DIRAC.TIFR.in,72.81,19.91
DIRAC.TMU.jp,139.377199,35.61656
DIRAC.Tokyo.jp,139.763,35.714
DIRAC.UAS.mx,-107.381713,24.826213
DIRAC.UVic.ca,-123.31,48.47
DIRAC.Yonsei.kr,126.938575,37.565807
LCG.CESNET.cz,14.3886,50.102
LCG.CNAF.it,11.3417,44.4948
LCG.CYFRONET.pl,19.90916,50.068978
LCG.Cosenza.it,16.181456,39.331548
LCG.DESY.de,9.8772,53.5772
LCG.Frascati.it,12.6844,41.797
LCG.HEPHY.at,16.2,48.2
LCG.KEK2.jp,140.076051,36.148578
LCG.KISTI.kr,127.366,36.366
LCG.KIT.de,8.4321,49.0963
LCG.KMI.jp,136.969546,35.154506
LCG.Legnaro.it,11.57,45.21
LCG.MPPMU.de,11.6731,48.2633
LCG.McGill.ca,-73.8,45.4
LCG.Melbourne.au,144.96,-37.8
LCG.NCHC.tw,120.281496,23.100508
LCG.NTU.tw,121.539,25.015
LCG.Napoli.it,14.18287,40.83785
LCG.Pisa.it,10.4,43.7
LCG.Torino.it,7.4,45.03
LCG.ULAKBIM.tr,33.02,39.99
OSG.FNAL.us,-88.2546,41.8412
OSG.Nebraska.us,-96.68,40.82
OSG.VT.us,-80.4132,37.2038
SSH.KMI.jp,136.969546,35.154506
SSH.UVic.ca,-123.311,48.464
