Site,Coordinates,Done,Failed,Running,Stalled,Waiting
ARC.SIGNET.si,14.48767,46.04217,150154,1741,986,0,2
CLOUD.AWS_Tokyo.jp,139.751930,35.684498,360,106,1,0,2
CLOUD.CC1_Krakow.pl,19.890541,50.089557,42034,428,204,0,1
DIRAC.BINP.ru,83.11,54.85,144654,5652,531,0,7
DIRAC.Beihang.cn,116.340833333333,39.98,10143,1651,0,0,1
DIRAC.CINVESTAV.mx,-99.128603,19.510869,44647,1448,96,0,0
DIRAC.DESY.de,9.8772,53.5772,2,0,0,0,1
DIRAC.Hokudai.jp,141.345669,43.073511,8500,86,40,0,0
DIRAC.Nara-WU.jp,135.828454,34.687870,10679,251,21,0,0
DIRAC.Niigata.jp,138.941511,37.867478,9704,2091,44,0,2
DIRAC.Osaka-CU.jp,135.50753570000006,34.5927358,16149,120,35,0,0
DIRAC.PNNL-CASCADE.u,-119.307833,46.347283,0,0,0,0,2
DIRAC.PNNL-PIC.us,-119.307833,46.347283,0,0,0,0,0
DIRAC.PNNL.us,-119.307833,46.347283,354493,2886,2189,6,3
DIRAC.TIFR.in,72.81,19.91,3263,140,8,0,2
DIRAC.TMU.jp,139.377199,35.616560,14874,334,52,0,2
DIRAC.Tokyo.jp,139.763,35.714,3240,27,8,0,3
DIRAC.UAS.mx,-107.381713,24.826213,10404,384,24,0,0
DIRAC.UVic.ca,-123.31,48.47,367972,12937,1761,0,5
DIRAC.Yonsei.kr,126.938575,37.565807,6681,3443,15,2,2
LCG.CESNET.cz,14.3886,50.1020,173650,1542,895,0,2
LCG.CNAF.it,11.3417,44.4948,122491,19145,570,1,3
LCG.CYFRONET.pl,19.90916,50.068978,83877,3686,349,0,1
LCG.Cosenza.it,16.181456,39.331548,115526,1532,7,0,2
LCG.DESY.de,9.8772,53.5772,966825,21548,2578,0,2
LCG.Frascati.it,12.6844,41.797,113555,1245,561,0,1
LCG.HEPHY.at,16.20,48.20,248090,4060,123,0,2
LCG.KEK2.jp,140.076051,36.148578,503002,6125,312,0,3
LCG.KISTI.kr,127.366,36.366,70565,1222,312,0,2
LCG.KIT.de,8.4321,49.0963,501922,5006,3474,0,3
LCG.KMI.jp,136.969546,35.154506,166127,2494,370,0,1
LCG.Legnaro.it,11.57,45.21,18902,172,1,0,2
LCG.MPPMU.de,11.6731,48.2633,292151,6679,789,0,5
LCG.McGill.ca,-73.8,45.4,16920,434,50,0,1
LCG.Melbourne.au,144.96,-37.8,42170,693,287,0,3
LCG.NCHC.tw,120.281496,23.100508,177599,1754,501,0,2
LCG.NTU.tw,121.539,25.015,6847,76,28,0,2
LCG.Napoli.it,14.18287,40.83785,260745,7481,976,0,1
LCG.Pisa.it,10.4,43.7,385527,11425,199,0,5
LCG.Torino.it,07.40,45.03,18699,450,170,0,1
LCG.ULAKBIM.tr,33.02,39.99,15288,863,48,0,1
OSG.FNAL.us,-88.2546,41.8412,0,0,0,0,2
OSG.Nebraska.us,-96.68,40.82,0,0,0,0,2
OSG.VT.us,-80.4132,37.2038,0,0,0,0,2
SSH.KMI.jp,136.969546,35.154506,7640,66,28,0,3
SSH.UVic.ca,-123.311,48.464,0,0,0,0,0
